tentativa,activation,init,lr_reg,lr,opt,reg,units1,loss,time
70,relu, random_normal, 0.01, 0.001, RMSprop, l1l2, 512, 33.3528, datetime.datetime(2018, 10, 9, 20, 47, 28, 513000)
71,relu, random_normal, 1e-05, 0.001, RMSprop, l1l2, 512, 33.8289, datetime.datetime(2018, 10, 9, 20, 49, 23, 274000)
72,relu, random_normal, 0.001, 0.001, RMSprop, l2, 512, 31.8629, datetime.datetime(2018, 10, 9, 20, 51, 33, 239000)
73,relu, random_normal, 0.001, 0.001, RMSprop, l2, 512, 33.9076, datetime.datetime(2018, 10, 9, 20, 53, 41, 959000)
74,relu, random_normal, 0.001, 0.001, RMSprop, l2, 512, 33.9363, datetime.datetime(2018, 10, 9, 20, 55, 57, 280000)
75,relu, random_normal, 0.001, 0.001, Adamgrad, l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 20, 58, 8, 18000)
76,relu, random_normal, 0.001, 0.001, RMSprop, l2, 512, 33.507, datetime.datetime(2018, 10, 9, 20, 59, 37, 477000)
77,relu, random_uniform, 0.001, 0.01, SGD, l2, 64, 37.9984, datetime.datetime(2018, 10, 9, 21, 1, 57, 277000)
78,relu, random_normal, 0.001, 0.001, RMSprop, l2, 512, 33.5903, datetime.datetime(2018, 10, 9, 21, 4, 46, 553000)
79,relu, random_normal, 0.001, 0.0001, Adam, l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 21, 6, 47, 528000)
