activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
linear, random_uniform, 0.01, 1e-05, RMSprop, l2, 128, 13.3667
linear, random_uniform, 0.01, 1e-05, Adamgrad, l2, 128, 12.4722
linear, random_uniform, 0.01, 1e-05, RMSprop, l2, 128, 13.9261
linear, random_uniform, 0.01, 1e-05, Adamgrad, l2, 128, 12.552
linear, random_uniform, 0.0001, 1e-05, Adamgrad, l2, 32, 99.0555
linear, random_uniform, 0.01, 1e-05, Adamgrad, l2, 128, 12.3215
linear, random_uniform, 0.01, 1e-05, SGD, l2, 32, 10.8122
linear, random_uniform, 0.01, 0.001, SGD, l2, 32, 12.363
linear, random_uniform, 0.0001, 1e-05, SGD, l2, 32, 96.6692
linear, random_uniform, 0.01, 0.01, SGD, l1, 32, 99.5028
linear, random_uniform, 0.01, 1e-05, SGD, l2, 32, 11.657
linear, random_uniform, 0.01, 0.001, SGD, l1, 32, 13.9443
linear, random_uniform, 0.001, 0.01, SGD, l2, 32, 53.6573
linear, random_uniform, 0.0001, 1e-05, SGD, l2, 32, 97.5107
linear, random_uniform, 0.01, 1e-05, SGD, l1l2, 32, 17.1956
linear, random_uniform, 0.01, 0.0001, SGD, l1, 32, 11.8168
relu, random_uniform, 0.001, 0.001, SGD, l2, 32, 17.7347
linear, random_uniform, 0.0001, 0.0001, SGD, l1l2, 32, 93.147
linear, random_uniform, 0.01, 0.01, SGD, l2, 32, 16.0701
relu, random_normal, 0.001, 1e-05, SGD, l1, 32, 15.2576
linear, random_uniform, 0.01, 0.0001, RMSprop, l2, 32, 14.2823
relu, random_normal, 0.0001, 1e-05, Adam, l1l2, 32, 98.404
linear, random_uniform, 0.01, 0.01, SGD, l1, 64, 99.5014
relu, random_uniform, 0.001, 0.001, SGD, l2, 32, 17.8976
linear, random_normal, 0.01, 1e-05, Adam, l1l2, 32, 34.1331
linear, random_uniform, 0.0001, 0.0001, RMSprop, l2, 64, 11.0447
relu, random_normal, 0.0001, 0.0001, RMSprop, l2, 64, 11.26
linear, random_uniform, 0.0001, 0.0001, RMSprop, l1, 64, 10.9829
linear, random_uniform, 0.0001, 0.0001, RMSprop, l1, 64, 11.0993
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 64, 11.0106
relu, random_uniform, 0.0001, 0.0001, RMSprop, l1, 64, 11.6736
linear, random_uniform, 0.0001, 0.0001, RMSprop, l1, 64, 11.0418
linear, random_uniform, 0.0001, 0.0001, Adam, l1, 64, 98.3824
