tentativa,activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
49,linear,0,random_normal,0.01,0.001,1,Adamgrad,l1,32,96.2008
50,relu,0.5,random_uniform,0.0001,0.0001,2,SGD,l1,64,96.2076
51,linear,0.5,random_normal,0.01,0.01,1,SGD,l1l2,128,96.2076
52,linear,0.7,random_normal,0.001,0.00001,4,Adam,l1,64,96.2076
53,linear,0,random_uniform,0.01,0.0001,1,RMSprop,l1l2,32,75.2586
54,relu,0.1,random_normal,0.01,0.01,2,SGD,l1,64,96.2076
55,linear,0.5,random_normal,0.0001,0.001,1,Adamgrad,l2,64,96.2076
56,linear,0.5,random_uniform,0.001,0.0001,1,SGD,l1,128,43.1873
57,linear,0.3,random_normal,0.01,0.00001,4,SGD,l1l2,64,96.2076
58,relu,0,random_normal,0.01,0.0001,1,Adam,l2,64,44.1325
59,linear,0.5,random_normal,0.001,0.01,2,SGD,l1,32,96.2076
60,linear,0.7,random_uniform,0.01,0.00001,1,Adamgrad,l2,64,47.6832
61,linear,0.5,random_normal,0.0001,0.0001,1,RMSprop,l2,128,36.7674
62,relu,0.1,random_normal,0.01,0.001,1,SGD,l1,64,51.9723
63,linear,0.5,random_normal,0.01,0.0001,4,SGD,l2,64,63.2744
64,linear,0.3,random_uniform,0.001,0.00001,1,Adam,l1l2,32,96.2076
65,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,37.1777
66,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,37.197
67,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,36.7723
68,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,36.7595
69,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,36.6268
70,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,36.0796
71,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,37.0965
72,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,36.1771
73,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,36.1822
74,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,36.1773
75,linear,0,random_normal,0.01,0.00001,2,SGD,l2,64,36.4429
76,linear,0.7,random_normal,0.01,0.00001,1,RMSprop,l2,64,47.5446
77,linear,0.5,random_normal,0.01,0.00001,1,Adamgrad,l1,128,40.4762
78,linear,0.1,random_normal,0.0001,0.00001,1,SGD,l2,64,96.2076
79,relu,0.3,random_normal,0.01,0.00001,4,SGD,l1,64,96.2076
