tentativa,activation,init,lr,lr_reg,opt,reg,units1,loss
42,relu,random_uniform,0.001,0.01,SGD,l1,128,96.2079
43,relu,random_normal,0.001,0.001,RMSprop,l2,32,39.441
44,relu,random_uniform,0.001,0.00001,SGD,l1,64,43.5347
45,relu,random_normal,0.001,0.00001,RMSprop,l2,128,32.536
46,relu,random_normal,0.001,0.01,RMSprop,l1l2,64,74.0427
47,relu,random_normal,0.001,0.0001,RMSprop,l1,128,39.175
48,relu,random_normal,0.001,0.001,RMSprop,l2,32,38.7731
49,relu,random_normal,0.001,0.00001,RMSprop,l2,128,33.1126
50,relu,random_normal,0.001,0.0001,RMSprop,l1,64,37.2735
51,relu,random_normal,0.001,0.00001,RMSprop,l2,128,32.0495
52,relu,random_normal,0.001,0.01,RMSprop,l1l2,32,80.901
53,relu,random_normal,0.001,0.0001,Adamgrad,l2,64,96.2079
54,relu,random_normal,0.001,0.00001,RMSprop,l1,128,34.3677
55,relu,random_normal,0.001,0.00001,Adam,l2,128,96.2078
56,relu,random_normal,0.001,0.001,RMSprop,l2,128,38.4051
57,relu,random_normal,0.001,0.00001,Adamgrad,l1l2,64,96.2079
58,relu,random_normal,0.001,0.0001,RMSprop,l2,128,35.5282
59,relu,random_normal,0.001,0.01,RMSprop,l1,32,96.2079
60,relu,random_normal,0.001,0.00001,Adamgrad,l2,128,96.2078
61,relu,random_normal,0.001,0.00001,Adam,l2,128,96.2079
62,relu,random_normal,0.001,0.00001,RMSprop,l2,64,35.0238
63,relu,random_normal,0.001,0.001,RMSprop,l1l2,128,56.0881
64,relu,random_normal,0.001,0.0001,Adamgrad,l2,128,96.2079
65,relu,random_normal,0.001,0.00001,RMSprop,l2,128,31.6206
66,relu,random_normal,0.001,0.00001,RMSprop,l2,128,33.3378
67,relu,random_normal,0.001,0.00001,RMSprop,l2,128,33.3282
68,relu,random_normal,0.001,0.00001,RMSprop,l2,128,33.4259
69,relu,random_normal,0.001,0.00001,RMSprop,l2,128,33.3545
70,relu,random_normal,0.001,0.00001,RMSprop,l2,128,32.5963
71,relu,random_normal,0.001,0.00001,RMSprop,l2,128,31.9319
72,relu,random_normal,0.001,0.00001,Adam,l2,128,96.2068
73,relu,random_normal,0.001,0.00001,RMSprop,l2,128,33.1071
74,relu,random_normal,0.01,0.00001,RMSprop,l2,128,36.8286
75,relu,random_normal,0.001,0.00001,RMSprop,l2,32,35.5742
76,relu,random_normal,0.001,0.01,RMSprop,l2,128,51.0078
77,relu,random_normal,0.0001,0.00001,Adam,l1,128,96.3842
78,linear,random_normal,0.01,0.001,Adamgrad,l1l2,128,57.7042
79,relu,random_normal,0.001,0.00001,RMSprop,l2,64,34.7084
