activation,init,lr,lr_reg,opt,reg,units1,loss
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 34.4668
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 35.3117
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 34.7525
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 35.8137
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 35.9963
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 36.4369
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 35.0125
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 34.5617
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 33.6263
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 36.2151
relu, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 35.0157
relu, random_uniform, 0.01, 0.0001, RMSprop, l1, 64, 33.6648
relu, random_uniform, 0.01, 0.0001, RMSprop, l1, 64, 32.5407
relu, random_uniform, 0.01, 0.0001, RMSprop, l1, 64, 35.3535
relu, random_uniform, 0.0001, 0.0001, RMSprop, l1, 64, 52.7655
relu, random_uniform, 0.001, 0.0001, RMSprop, l1, 64, 36.394
relu, random_uniform, 0.01, 0.001, Adamgrad, l1l2, 64, 91.1044
linear, random_normal, 0.0001, 0.01, Adam, l2, 128, 91.1044
linear, random_normal, 0.0001, 0.001, Adamgrad, l1l2, 32, 91.1044
relu, random_uniform, 0.0001, 0.0001, Adamgrad, l2, 128, 91.1044
linear, random_uniform, 0.001, 0.001, Adamgrad, l1, 32, 91.1044
linear, random_uniform, 0.0001, 0.01, Adam, l1l2, 32, 91.1044
linear, random_normal, 0.0001, 0.0001, Adamgrad, l1, 32, 91.1044
relu, random_normal, 0.0001, 1e-05, SGD, l2, 64, 91.1044
linear, random_uniform, 0.01, 0.0001, SGD, l1l2, 64, 56.5288
linear, random_normal, 0.01, 0.001, RMSprop, l1l2, 64, 50.5637
linear, random_normal, 0.01, 0.0001, SGD, l2, 128, 38.5878
relu, random_uniform, 0.0001, 0.0001, Adam, l1l2, 128, 91.1044
relu, random_normal, 0.0001, 1e-05, Adam, l2, 32, 91.1141
linear, random_normal, 0.01, 0.001, RMSprop, l2, 128, 47.1151
linear, random_uniform, 0.001, 0.0001, SGD, l1l2, 32, 91.1026
linear, random_normal, 0.001, 0.001, RMSprop, l2, 128, 39.2011
linear, random_uniform, 0.0001, 0.01, Adam, l1l2, 128, 91.1044
linear, random_normal, 0.0001, 0.01, RMSprop, l1l2, 64, 91.1044
relu, random_uniform, 0.01, 0.0001, SGD, l2, 64, 37.7522
relu, random_normal, 0.0001, 0.0001, RMSprop, l1l2, 32, 78.8709
relu, random_uniform, 0.01, 0.0001, SGD, l2, 64, 38.1662
relu, random_uniform, 0.01, 0.0001, SGD, l2, 64, 38.0648
relu, random_uniform, 0.01, 0.0001, SGD, l1, 64, 36.7136
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 36.3068
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 38.2018
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 37.7232
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 36.089
relu, random_uniform, 0.001, 1e-05, SGD, l1, 64, 91.0494
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 39.5644
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 36.4517
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 37.8157
relu, random_uniform, 0.01, 1e-05, Adamgrad, l1, 64, 90.9031
relu, random_uniform, 0.001, 1e-05, SGD, l1, 64, 90.6867
relu, random_uniform, 0.01, 1e-05, Adamgrad, l1, 64, 91.0042
relu, random_uniform, 0.01, 1e-05, Adam, l1, 64, 90.8779
relu, random_uniform, 0.001, 0.01, Adamgrad, l1, 64, 91.1044
relu, random_uniform, 0.01, 1e-05, SGD, l1, 32, 38.1502
relu, random_uniform, 0.01, 1e-05, SGD, l1, 128, 37.9
relu, random_uniform, 0.01, 0.01, Adamgrad, l1, 64, 91.1044
relu, random_uniform, 0.001, 0.001, Adam, l1, 32, 91.1044
relu, random_uniform, 0.01, 1e-05, SGD, l1, 64, 37.0532
relu, random_uniform, 0.01, 1e-05, RMSprop, l1, 64, 37.8784
relu, random_normal, 0.01, 0.001, SGD, l1, 128, 58.2424
relu, random_uniform, 0.001, 1e-05, Adamgrad, l1, 32, 91.1044
linear, random_normal, 0.0001, 0.01, Adam, l1l2, 64, 91.1044
relu, random_uniform, 0.01, 0.001, SGD, l1, 128, 57.1248
linear, random_uniform, 0.01, 1e-05, RMSprop, l2, 64, 38.942
relu, random_normal, 0.0001, 1e-05, SGD, l1l2, 32, 91.1044
linear, random_uniform, 0.01, 0.01, Adam, l1, 128, 91.1044
relu, random_normal, 0.001, 0.001, RMSprop, l2, 64, 37.4265
linear, random_uniform, 0.0001, 1e-05, SGD, l1l2, 64, 91.1044
relu, random_uniform, 0.01, 1e-05, Adamgrad, l1, 32, 91.1044
relu, random_normal, 0.01, 0.01, SGD, l2, 128, 56.1623
linear, random_uniform, 0.0001, 0.001, Adam, l1, 64, 91.1044
relu, random_uniform, 0.01, 1e-05, SGD, l1l2, 64, 57.8724
relu, random_normal, 0.001, 0.0001, RMSprop, l1, 32, 37.319
relu, random_uniform, 0.01, 1e-05, SGD, l2, 64, 37.1557
linear, random_uniform, 0.0001, 1e-05, SGD, l1, 128, 91.1044
relu, random_uniform, 0.01, 0.0001, SGD, l1l2, 64, 59.2171
relu, random_normal, 0.01, 0.01, RMSprop, l1, 64, 62.465
linear, random_uniform, 0.001, 1e-05, Adamgrad, l2, 64, 91.1044
relu, random_uniform, 0.01, 0.001, Adam, l1, 32, 91.1044
